shelfmark,headline,summary,url,image_soup,image_server_base_url,image_rel
"Aarau, Aargauer Kantonsbibliothek, MsMurF 6",Parchment · 77 ff. · 30 x 20.5 cm · 15th century,"This 15th century Missale speciale contains the formulas for the Mass for the highest holidays of the church year (Christmas, Epiphany, Easter, Ascension, Pentecost, Trinity Sunday, Michaelmas, All Saints' Day and the dedication of the church) as well as for the Mass for the dead and for several votive Masses. This compilation was suited for worship service in a chapel. An image of the crucifixion of Christ has been removed from this manuscript.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0006,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0006/kba-MurF0006_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0006/kba-MurF0006_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0006/kba-MurF0006_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 7",Parchment · 92 ff. · 29-30 x 21-21.5 cm · second half of the 13th century,"The history of the early Christian church by the Greek church father Eusebius of Caesarea was translated into Latin by Rufinus of Aquileia and continued until the end of the 4th century. In this manuscript from the second half of the 13th century, each of the eleven books of church history begins with distinctive multicolored initials.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0007,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0007/kba-MurF0007_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0007/kba-MurF0007_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0007/kba-MurF0007_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 8",Parchment · 217 ff. · 27 x 18.5 cm · 12th century,"This 12th century manuscript with commentaries on the four Gospels is probably from Alsace. This is suggested by the history of the founding of the Benedictine monastery of St. Faith in Sélestat, added on the last pages. In 1530, the manuscript was owned by Johannes Schornegg, parish priest in Muri.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0008,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0008/kba-MurF0008_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0008/kba-MurF0008_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0008/kba-MurF0008_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 14",Paper · 293 ff. · 41 x 31 cm · Lucerne · 1474,"In 1474 Adam Keuten, since 1467 parish priest at the Hofkirche in Lucerne, compiled a large-format volume with the Proprietates rerum naturalium moralisatae, an encyclopedia in seven parts about the most important fields of creation, followed by allegorical interpretations of natural phenomena. The volume also contains a medical treatise, several short works about the Eucharist, and a longer treatise about the Mass.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0014,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0014/kba-MurF0014_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0014/kba-MurF0014_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0014/kba-MurF0014_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 31a",Parchment · 6 ff. · 39 x 16.5-17.5 cm / 6 x 13-16 cm · Alemannic region · middle of the 13th century,"The Osterspiel von Muri (Easter Play of Muri) is the oldest known rhyming dramatic piece in German. The author is unknown. Linguistic analyses lead to the conclusion that the work originated in the middle or western region of the area where high Alemannic was spoken. The surviving portion of the Osterspiel indicates a true spoken drama, without Latin or musical elements.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0031a,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0031a/kba-MurF0031a_recto.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0031a/kba-MurF0031a_recto.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0031a/kba-MurF0031a_recto.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 84",Paper · 388 ff. · 26.5 x 19.5 cm · Alpirsbach · 1498-1499,"This composite manuscript consists of an incunable from Freiburg i. Br. from 1494 and two parts in manuscript, which were copied in 1498 and 1499 by Brother Johannes Bengel, Conventual at Alpirsbach Abbey in the Black Forest. The three texts on scholastic logic are by Peter of Spain and by Petrus Tartaretus, a contemporaneous Parisian philosopher whose mnemonic device, a logical figure called pons asinorum has also been copied.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0084,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0084/kba-MurF0084_0099r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0084/kba-MurF0084_0099r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0084/kba-MurF0084_0099r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 85",Paper · 149 ff. · 28 x 21 cm · Upper Italy · around 1470-1480,"This composite manuscript about medicine is from Upper Italy and contains three incunabula with works by the doctor Antonio Guainerio, who was active in Pavia. It also contains a part in manuscript from the 1470s with treatises on infertility, on urine, and on stomachache, supplemented by several short recipes and a medical consultation for the humanist and diplomat Marcolino Barbavara.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0085,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0085/kba-MurF0085_2_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0085/kba-MurF0085_2_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0085/kba-MurF0085_2_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurFm 4","Parchment · 339 ff. · 49 x 35 cm · last quarter of the 15th, first quarter of the 16th century","First volume (Temporale) of the two-volume gradual with liturgical songs that Abbot Laurentius of Heidegg from Muri Abbey purchased from the convent of canonesses at Säckingen in 1532, after the furnishings of Muri Abbey, along with the liturgical books, were destroyed in the Second War of Kappel. The abbot had the large pen-flourish initial at the beginning painted over with the miter, the abbatial crozier, his own coat of arms and that of the abbey.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurFm0004,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurFm0004/kba-MurFm0004_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0004/kba-MurFm0004_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0004/kba-MurFm0004_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurFm 5","Parchment · 300 ff. · 49 x 36 cm · last quarter of the 15th, first quarter of the 16th century","Second volume (sanctorale) of the two-volume gradual, which Abbot Laurentius of Heidegg from Muri Abbey purchased from the convent of canonesses at Säckingen in 1532, after the furnishings of Muri Abbey, along with the liturgical books, were destroyed in the Second War of Kappel. The abbot had the large pen-flourish initial at the beginning painted over with the miter, the abbatial crozier, his own coat of arms and that of the abbey.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurFm0005,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurFm0005/kba-MurFm0005_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0005/kba-MurFm0005_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0005/kba-MurFm0005_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurFm 6",Parchment · 303 ff. · 51-52 x 34 cm · 15th century,"First volume (winter part) of the two-volume antiphonary with the chants of the Liturgy of the Hours; it was used alternately with MsMurFm9. This large-format manuscript from the 15th century is largely unadorned. On the basis of the responsories of the Advent season, it can be assigned to the Cistercian Order.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurFm0006,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurFm0006/kba-MurFm0006_0002v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0006/kba-MurFm0006_0002v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0006/kba-MurFm0006_0002v.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurFm 9",Parchment · 383 ff. · 50 x 34 cm · 15th century,"Second volume (summer part) of the two-volume antiphonary that was used alternately with MsMurFm6. This large-format manuscript from the 15th century is largely unadorned. On the basis of the feasts of saints (Bernard of Clairvaux, Edmund of Abingdon, Robert of Molesme), it can be assigned to the Cistercian Order.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurFm0009,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurFm0009/kba-MurFm0009_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0009/kba-MurFm0009_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurFm0009/kba-MurFm0009_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurQ 1",Parchment · 325 ff. · 23 x 16–16.5 cm · Southwestern Germany · second half of the 14th century,"This breviary from the second half of the 14th century contains the texts for the Divine Office for the entire liturgical year. According to the wording of the prayers and the rubrics in German, it was meant for a convent of Benedictine nuns; several antiphons suggest the area around Engelberg Abbey and Muri Abbey.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurQ0001,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurQ0001/kba-MurQ0001_0061r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0001/kba-MurQ0001_0061r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0001/kba-MurQ0001_0061r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurQ 2","Parchment · I + 6 + I ff. · 23.5 x 17 cm · Muri · end of the 15th, beginning of the 16th century","This late 15th or early 16th century calendar, consisting of only six leaves, contains in addition to the feast days and the saints also the Dedicatio Murensis. After the Reformation, the abbots Christoph von Grüt (1549-1564), Hieronymus Frey (1564-1585) and Jakob Meyer (1585-1596) used it to record the dates of their entry into the monastery, their election as abbot, the death of their successor and other events at the monastery.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurQ0002,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurQ0002/kba-MurQ0002_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0002/kba-MurQ0002_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0002/kba-MurQ0002_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurQ 4",Parchment · 138 ff. · 17 x 12.5–13 cm · 14th century,This 14th century parchment volume is of Franciscan origin and consists of two different parts. The first part is an incomplete cycle of sermons for the feasts of the Lord and the feasts of the saints; the second part contains the Moralia by the Parisian philosopher Francis of Meyronnes.               (gam),https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurQ0004,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurQ0004/kba-MurQ0004_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0004/kba-MurQ0004_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0004/kba-MurQ0004_0001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurQ 5","Parchment · 539 ff. · 21 x 15 cm · around 1300, 14th century, around 1500","This extensive breviary, with rubrics in German, was produced around 1300 for a convent of Dominican nuns. Over the next two centuries, various hands added new rhymed offices to the end, most of them to Dominican saints. In the 17th century, the breviary was the property of Wurmsbach Abbey, a convent of Cistercian nuns on Lake Zurich.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurQ0005,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurQ0005/kba-MurQ0005_0096r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0005/kba-MurQ0005_0096r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0005/kba-MurQ0005_0096r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurQ 6",Parchment · 91 ff. · 17 x 12.5 cm · 1483,"This small format missal, written in 1483, was used by members of the Franciscan order, as can be deduced from the calendar that precedes it. In the 16th century, it belonged to Rudolf Gwicht, Conventual at Muri, who later became abbot of Engelberg Abbey. In the calendar, he recorded his entry into the monastery and added his coat of arms to the back pastedown.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurQ0006,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurQ0006/kba-MurQ0006_0008r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0006/kba-MurQ0006_0008r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurQ0006/kba-MurQ0006_0008r.jp2/full/pct:25/0/default/jpg
